,true_latency_s
cluster_8_4674128#35980a77-2b55-4ce4-975a-cf630e365789,68.62832882963896
cluster_8_4674139#35980a77-2b55-4ce4-975a-cf630e365789,42.49127713399092
cluster_8_4674146#35980a77-2b55-4ce4-975a-cf630e365789,27.532226966919904
cluster_8_4674155#35980a77-2b55-4ce4-975a-cf630e365789,38.94740450096962
cluster_8_4674164#35980a77-2b55-4ce4-975a-cf630e365789,11.062770189661155
cluster_8_4674173#35980a77-2b55-4ce4-975a-cf630e365789,14.918387591510385
cluster_8_4674182#35980a77-2b55-4ce4-975a-cf630e365789,11.36454974035025
cluster_8_4674192#35980a77-2b55-4ce4-975a-cf630e365789,4.483596246285037
cluster_8_4674195#35980a77-2b55-4ce4-975a-cf630e365789,2.5043809716082746
cluster_8_4674206#35980a77-2b55-4ce4-975a-cf630e365789,8.0161907237671
cluster_8_4674213#35980a77-2b55-4ce4-975a-cf630e365789,11.234109158099269
cluster_8_4674222#35980a77-2b55-4ce4-975a-cf630e365789,8.685211997467876
cluster_8_4674232#35980a77-2b55-4ce4-975a-cf630e365789,3.669618881101488
cluster_8_4674237#35980a77-2b55-4ce4-975a-cf630e365789,30.514309102169694
cluster_8_4674255#35980a77-2b55-4ce4-975a-cf630e365789,36.846582962570665
cluster_8_4674262#35980a77-2b55-4ce4-975a-cf630e365789,16.751653042735157
cluster_8_4674269#35980a77-2b55-4ce4-975a-cf630e365789,14.480569169651677
cluster_8_4674284#35980a77-2b55-4ce4-975a-cf630e365789,11.983817814610674
cluster_8_4674302#35980a77-2b55-4ce4-975a-cf630e365789,4.90296874988749
cluster_8_4674305#35980a77-2b55-4ce4-975a-cf630e365789,14.575110717388897
cluster_8_4674313#35980a77-2b55-4ce4-975a-cf630e365789,122.35127487261198
cluster_8_4674318#35980a77-2b55-4ce4-975a-cf630e365789,1918.5907267605487
cluster_8_4674329#35980a77-2b55-4ce4-975a-cf630e365789,16.30122041152952
cluster_8_4674343#35980a77-2b55-4ce4-975a-cf630e365789,27.535417350247887
cluster_8_4674354#35980a77-2b55-4ce4-975a-cf630e365789,94.16047929248222
cluster_8_4674365#35980a77-2b55-4ce4-975a-cf630e365789,1462.9404794331813
cluster_8_4674372#35980a77-2b55-4ce4-975a-cf630e365789,28.600653176178742
cluster_8_4674379#35980a77-2b55-4ce4-975a-cf630e365789,57.4912568330605
cluster_8_4674390#35980a77-2b55-4ce4-975a-cf630e365789,17.177768328996713
cluster_8_4674400#35980a77-2b55-4ce4-975a-cf630e365789,43.3418855479612
cluster_8_4674414#35980a77-2b55-4ce4-975a-cf630e365789,254.4300087770973
cluster_8_4674425#35980a77-2b55-4ce4-975a-cf630e365789,209.9127745751729
cluster_8_4674432#35980a77-2b55-4ce4-975a-cf630e365789,26.585569445015064
cluster_8_4674435#35980a77-2b55-4ce4-975a-cf630e365789,14.388932317100801
cluster_8_4674445#35980a77-2b55-4ce4-975a-cf630e365789,51.27218142085298
cluster_8_4674458#35980a77-2b55-4ce4-975a-cf630e365789,12.224737947574702
cluster_8_4674476#35980a77-2b55-4ce4-975a-cf630e365789,560.1521518192116
cluster_8_4674483#35980a77-2b55-4ce4-975a-cf630e365789,209.24780318907474
cluster_8_4674492#35980a77-2b55-4ce4-975a-cf630e365789,486.3814157157733
cluster_8_4674497#35980a77-2b55-4ce4-975a-cf630e365789,331.9021139324946
cluster_8_4674515#35980a77-2b55-4ce4-975a-cf630e365789,219.73487861012813
cluster_8_4674532#35980a77-2b55-4ce4-975a-cf630e365789,8.112970977504057
cluster_8_4674542#35980a77-2b55-4ce4-975a-cf630e365789,470.7218234236493
cluster_8_4674555#35980a77-2b55-4ce4-975a-cf630e365789,6.904974099424844
cluster_8_4674568#35980a77-2b55-4ce4-975a-cf630e365789,41.312463187277096
cluster_8_4674585#35980a77-2b55-4ce4-975a-cf630e365789,178.0869576984072
cluster_8_4674596#35980a77-2b55-4ce4-975a-cf630e365789,94.68979667877578
cluster_8_4674601#35980a77-2b55-4ce4-975a-cf630e365789,2.3855841301197183
cluster_8_4674612#35980a77-2b55-4ce4-975a-cf630e365789,79.54661883815592
