,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,target_is_lower_bound,model_source,individual_loss
930,query_272,ext_tpcds1000#018#002,1778841695519,autoslo-32-1778841695519-0,32,0,0.8422350883483887,1.448255968093872,0.6060208797454834,1.7195388652518406,False,stage,0.0
386,query_87,ext_tpcds1000#043#002,1778822227786,autoslo-32-1778822227786-0,32,0,0.8412630558013916,1.0159820318222046,0.174718976020813,1.2076864956994633,False,stage,0.0
1191,query_234,ext_tpcds1000#054#001,1778841695519,autoslo-32-1778841695519-0,32,0,0.8326840400695801,0.8829203446706136,0.050236304601033566,1.0603305722021954,False,stage,0.0
1504,query_126,ext_tpcds1000#048#002,1778836931383,autoslo-32-1778836931383-0,32,0,0.8279800415039062,0.7589552402496338,0.06902480125427246,1.0909471304678904,False,stage,0.0
3203,query_148,ext_tpcds1000#045#003,1778845281053,autoslo-16-1778845281053-0,16,0,0.8271160125732422,0.8572410345077515,0.030125021934509277,1.0364217612482043,False,stage,0.0
84,query_278,ext_tpcds1000#041#003,1778841575338,autoslo-16-1778841575338-0,16,4,0.8242800235748291,2.5931899547576904,1.7689099311828613,3.1460061073303223,False,lstm,1.1461337804794312
58,query_79,ext_tpcds1000#083#002,1778841695519,autoslo-32-1778841695519-0,32,1,0.8172659873962402,1.690043568611145,0.8727775812149048,2.0679235458374023,False,lstm,0.726544976234436
2532,query_82,ext_tpcds1000#053#001,1778823665762,autoslo-16-1778823665762-0,16,0,0.8141670227050781,1.0707358837127685,0.2565688610076904,1.3151305000726237,False,stage,0.0
35,query_44,ext_tpcds1000#073#001,1778827099259,autoslo-32-1778827099259-0,32,0,0.8138608932495117,0.6194086372852325,0.19445225596427917,1.3139321027496997,False,stage,0.0
1887,query_100,ext_tpcds1000#006#001,1778824254808,autoslo-8-1778824254808-0,8,1,0.8123319149017334,6.517309665679932,5.704977989196777,8.022963523864746,False,lstm,2.082307815551758
1281,query_215,ext_tpcds1000#089#002,1778845494039,autoslo-32-1778845494039-0,32,0,0.8110709190368652,1.4847505887349446,0.6736796696980794,1.8306051343796965,False,stage,0.0
2049,query_74,ext_tpcds1000#084#001,1778821888613,autoslo-16-1778821888613-0,16,0,0.8108150959014893,3.0540963808695474,2.243281284968058,3.766698962941617,False,stage,0.0
1829,query_108,ext_tpcds1000#063#002,1778823665762,autoslo-16-1778823665762-0,16,0,0.8088150024414062,1.0361382961273193,0.22732329368591309,1.2810572170394197,False,stage,0.0
2849,query_142,ext_tpcds1000#013#003,1778841695519,autoslo-32-1778841695519-0,32,0,0.8077459335327148,0.7910934686660767,0.016652464866638184,1.0210499334480883,False,stage,0.0
2818,query_42,ext_tpcds1000#020#001,1778833931287,autoslo-16-1778833931287-0,16,0,0.8025379180908203,0.6979539394378662,0.1045839786529541,1.1498436683904762,False,stage,0.0
3009,query_164,ext_tpcds1000#039#003,1778827099259,autoslo-32-1778827099259-0,32,0,0.799994945526123,0.7921119928359985,0.007882952690124512,1.0099518158561154,False,stage,0.0
3364,query_169,ext_tpcds1000#062#001,1778836931383,autoslo-32-1778836931383-0,32,0,0.7964720726013184,1.0596748352050782,0.26320276260375985,1.3304607551952528,False,stage,0.0
2020,query_96,ext_tpcds1000#010#001,1778823665762,autoslo-16-1778823665762-0,16,0,0.7951819896697998,0.8892838001251221,0.09410181045532229,1.1183399670487988,False,stage,0.0
609,query_145,ext_tpcds1000#037#001,1778834328135,autoslo-32-1778834328135-0,32,0,0.7868478298187256,0.7175784111022949,0.06926941871643066,1.0965321944538768,False,stage,0.0
192,query_215,ext_tpcds1000#089#002,1778841695519,autoslo-32-1778841695519-0,32,0,0.7848629951477051,1.4847505887349446,0.6998875935872395,1.8917321849981297,False,stage,0.0
2657,query_164,ext_tpcds1000#039#003,1778829721533,autoslo-32-1778829721533-0,32,0,0.784229040145874,0.7921119928359985,0.007882952690124512,1.010051850016493,False,stage,0.0
1506,query_287,ext_tpcds1000#063#003,1778845281053,autoslo-16-1778845281053-0,16,0,0.7828598022460938,0.7413836320241293,0.04147617022196448,1.0559442755820303,False,stage,0.0
3432,query_18,ext_tpcds1000#061#003,1778827099259,autoslo-32-1778827099259-0,32,0,0.7802491188049316,2.018653452396393,1.2384043335914612,2.587190941642155,False,stage,0.0
2659,query_40,ext_tpcds1000#086#001,1778834328135,autoslo-32-1778834328135-0,32,0,0.7800760269165039,0.6046372056007385,0.17543882131576538,1.29015551754123,False,stage,0.0
3073,query_71,ext_tpcds1000#092#001,1778824038818,autoslo-32-1778824038818-0,32,0,0.7779240608215332,0.34789691652570454,0.43002714429582867,2.236076331432664,False,stage,0.0
